Organization Name,Organization Name URL,Operating Status,Headquarters Location,Number of Employees,Description,Full Description,Industries,Founded Date,Founded Date Precision,Industry Groups,Top 5 Investors,IPO Status,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),Apptopia - Downloads Last 30 Days,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Number of Lead Investors,Number of Investors,Closed Date,Closed Date Precision,Estimated Revenue Range
ShipHero,https://www.crunchbase.com/organization/shiphero,Active,"Garnerville, New York, United States",101-250,ShipHero is a powerful shipping software platform and a full-service fulfillment company for eCommerce brands looking to scale.,"ShipHero makes it easy to ship eCommerce. No other company in our space does fulfillment for eCommerce two ways. We offer outsourced fulfillment that includes 7 warehouses across North America or end-to-end shipping software that makes it easy to manage your own warehouse. - We serve more than 10% of Shopify plus stores globally - Over 100 million packages shipped - More than $10 billion in shipped orders - #1 Rated Leader in G2 Momentum Report If you have your own warehouses you can use the same software and processes we use, starting at $499/month. The process works for Canadian Tire, a $10 billion brand and Black Wolf Nation, a $1 million brand and thousands of others. If you want to outsource your fulfillment, we are the reliable partner you want. We own our warehouses and they are run by long term, committed employees. We pride ourselves in being a good partner and we work with brands that care about long term relationships and delivering a high quality experience to their clients.","E-Commerce, Logistics, Software, Warehousing",2013-01-10,day,"Commerce and Shopping, Software, Transportation","Riverwood Capital, Joe De Pinho",Private,"309,853","597,368.33",,Venture - Series Unknown,50000000,USD,50000000,Venture - Series Unknown,50000000,USD,50000000,50000000,USD,50000000,50000000,USD,50000000,1,1,2,,,Less than $1M
Alaiko,https://www.crunchbase.com/organization/alaiko,Active,"Munich, Bayern, Germany",51-100,Enabling e-commerce shops via a world class logistic-as-a-service platform.,"Alaiko is Europe's leading logistics operating system that enables e-commerce SMEs by providing them with access to a wide range of fulfillment services out of one hand. In order to achieve that, we connect all relevant stakeholders being e-commerce shops themselves, ERP-systems, fulfillers & shipping providers on one logistic-as-a-service platform.","E-Commerce, Logistics, Software",2020-03-23,day,"Commerce and Shopping, Software, Transportation","Tiger Global Management, Next47",Private,,,,Series A,30000000,USD,30000000,Series A,30000000,USD,30000000,30000000,USD,30000000,30000000,USD,30000000,1,1,2,,,
Freterium,https://www.crunchbase.com/organization/freterium,Active,"Casablanca, Grand Casablanca, Morocco",11-50,"Freterium is a collaborative SaaS that connects organizations, people and technologies in the logistics value chain to help them move things","Freterium is a collaborative SaaS that connects organizations, people and technologies in the logistics value chain to help them move things. Their cloud-based transport management platform offers the easiest and most automated way for manufacturers, retailers and logistics providers, to manage their daily road freight shipments.","Information Technology, Logistics, Software",2018-12-01,month,"Information Technology, Software, Transportation","Y Combinator, Partech, Flexport Ventures, Omar Darwazah, Swiss Founders Fund",Private,387,,,Seed,4000000,USD,4000000,Seed,4000000,USD,4000000,4455000,USD,4455000,4455000,USD,4455000,3,3,8,,,
TrueNorth,https://www.crunchbase.com/organization/truenorth,Active,"San Francisco, California, United States",1-10,"TrueNorth offers software that helps truckers manage insurance, fuel, and maintenance.","TrueNorth aims to fix inefficiencies in the independent, yet fragmented, trucking industry. TrueNorth, established by Stedge and Sanjaya Wijeratne, develops software that puts “independent truckers under one roof.” While TrueNorth doesn’t lease trucks, it helps truckers have a platform to manage insurance, fuel, and maintenance. TrueNorth also helps truckers with route optimization, dispatch and load coordination, and automated tracking.","Logistics, Software, Transportation",2019-09-01,month,"Software, Transportation","Flexport, Tribe Capital, Y Combinator, Liquid 2 Ventures, Elad Gil",Private,"15,340","10,355.67",,Series B,50000000,USD,50000000,Series B,50000000,USD,50000000,62250000,USD,62250000,62250000,USD,62250000,5,5,22,,,
Diebold Nixdorf,https://www.crunchbase.com/organization/diebold-nixdorf,Active,"Canton, Ohio, United States",10001+,Diebold Nixdorf is dedicated to driving connected commerce and consumer centric solutions.,"Diebold Nixdorf is dedicated to driving connected commerce and consumer centric solutions. The creation of Diebold Nixdorf represents more than a combination; it’s a new organization for a transformative era. For more than 150 years, they have been determining the future, guiding their customers strategically for the long term, and forging the path for innovation. Today, they’re the leaders in driving and enabling connected commerce.","E-Commerce, Information Technology, Logistics, Software",1859-01-01,year,"Commerce and Shopping, Information Technology, Software, Transportation",,Public,"81,757","205,887.17",,,,,,Post-IPO Debt,787000000,USD,787000000,,,,787000000,USD,787000000,1,,,,,$1B to $10B
SmartHop,https://www.crunchbase.com/organization/smarthop,Active,"Miami, Florida, United States",11-50,SmartHop is a business-in-a-box platform that empowers small trucking companies and owner-operators to earn more while doing less.,"SmartHop is a business-in-a-box platform that empowers small trucking companies and owner-operators to earn more while doing less. By using artificial intelligence to deliver smart load recommendations, full-service back-office support, and low-cost operational services, SmartHop enables customers to operate with better capabilities than the leading carriers.  It transforms the way drivers make a living through the nation’s largest network for truckers. Founded in 2018, SmartHop is backed by Equal Ventures, Union Square Ventures, Greycroft, RyderVentures, and Las Olas VC. It is headquartered in Miami, Florida.","Artificial Intelligence, Logistics, Software, Transportation",2018-01-01,year,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software, Transportation","Techstars, Union Square Ventures, Greycroft, Las Olas Venture Capital, Equal Ventures",Private,"4,974","10,001.83",,Series A,12000000,USD,12000000,Series A,12000000,USD,12000000,16620000,USD,16620000,16620000,USD,16620000,5,3,8,,,Less than $1M
Vector,https://www.crunchbase.com/organization/withvector,Active,"San Francisco, California, United States",11-50,"Vector, the mobile-first workflow and transportation management platform for shippers, logistics brokers, and carriers. Work, connected. ",Reduce operational friction and increase productivity by streamlining your workflows with our LoadDocs electronic forms and document capture solution. ,"Logistics, Software",2014-01-01,year,"Software, Transportation","8VC, Palm Drive Capital, Congruent Ventures, Goldcrest Capital, LeFrak",Private,"30,061","38,299.5",,Series A,,,,Series A,,,,10000000,USD,10000000,10000000,USD,10000000,3,1,6,,,$10M to $50M
CartonCloud,https://www.crunchbase.com/organization/carton-cloud,Active,"Gold Coast, Queensland, Australia",51-100,"CartonCloud is an easy-to-use transport and warehouse management SaaS application.  We're taking complicated logistics, and streamlining it!","CartonCloud is a time saving online logistics software that is supporting transporting and warehousing companies to become more efficient and move to paperless systems to reduce administration tasks immensely.  Using sign-on glass technology for proof of deliveries to be recorded from ios or android devices you can log in online anytime and see up-to-date logistics data - from anywhere on Mac, PC, tablet or mobile.","Android, Cloud Computing, iOS, Logistics, SaaS, Software, Transportation, Warehousing",2012-07-02,day,"Internet Services, Mobile, Platforms, Software, Transportation","MA Growth Capital, Queensland Investment Corporation, Platform Advisory Partners",Private,"6,651","10,228.33",,Series A,12000000,AUD,8481674,Series A,12000000,AUD,8481674,14000000,AUD,10004712,14000000,AUD,10004712,3,1,3,,,
Airspace,https://www.crunchbase.com/organization/airspace-technologies,Active,"Carlsbad, California, United States",251-500,Airspace Technologies is a technology-enabled provider of time critical logistics.,"Airspace was created in 2016 to solve the problems that plagued time-critical deliveries. After more than a decade in logistics, Nick Bulcao teamed up with Ryan Rusnak to build the industry’s most technologically advanced platform in order to expedite deliveries, improve accuracy, and provide full transparency for critical shipments. Headquartered in Carlsbad, California, our team has grown to over 200 members and counting. Our reach now extends overseas, where the Airspace B.V. office in  Amsterdam supports our rapid international expansion. We serve a growing list of industries that rely on time-critical shipping, including healthcare, aerospace, and manufacturing. Airspace’s technology is revolutionizing the industry by automating a wildly outdated manual process. Proprietary algorithms and machine learning technology provide instant quotes, optimized routing, and rapid driver dispatch. We are the only logistics company that pairs the most advanced technology with real-time communication on every shipment.","Logistics, Software, Supply Chain Management, Warehousing",2016-01-01,year,"Software, Transportation","Defy.vc, Qualcomm Ventures, Telstra Ventures, Scale Venture Partners, MaC Venture Capital",Private,"19,548","36,484.17",,Series C,38000000,USD,38000000,Series C,38000000,USD,38000000,66000000,USD,66000000,66000000,USD,66000000,3,4,8,,,$10M to $50M
Cobli,https://www.crunchbase.com/organization/cobli,Active,"São Paulo, Sao Paulo, Brazil",101-250,Cobli is the leading fleet management and IoT technology in Latin America.,"Cobli is the leading IoT technology company for connected vehicles and logistics in Latin America.  The company connects fleet vehicles to the internet through plug and play hardware and turns vehicle data into intelligence for a fleet manager through features such as vehicle routing and dispatch, client delivery communications, and automatic vehicle crash detection.  Launched in 2017, Cobli is the fastest growing fleet management system in Latin America with more than 1,000 clients in a wide set of industries such as vehicle rental companies, ambulances, and equipment installers. Cobli was the first Latin American company to win the “Harvard Business School - New Venture Competition” and has been honored by LinkedIn as one of the top 10 starts in Brasil.","Automotive, Fleet Management, Information Technology, Logistics, Software",2015-03-01,day,"Information Technology, Software, Transportation","SoftBank Vision Fund, Fifth Wall, Valor Capital Group, Qualcomm Ventures, NXTP Ventures",Private,"668,142","1,019,117.5",,Series B,35000000,USD,35000000,Series B,35000000,USD,35000000,45000000,USD,45000000,45000000,USD,45000000,6,2,9,,,$1M to $10M
Ripplr,https://www.crunchbase.com/organization/ripplr,Active,"Bengaluru, Karnataka, India",251-500,Ripplr is a full-stack tech distribution and logistics player that offers data-driven analytics and plug and play systems.,Ripplr is a full-stack tech distribution and logistics player that offers data-driven analytics and plugs and play system.,"Information Technology, Logistics, Software",2019-06-01,month,"Information Technology, Software, Transportation","3one4 Capital, Stride Ventures, Zephyr Peacock India, Sojitz, Yukti Securities",Private,"1,133",,,Series B,900000000,INR,11926097,Series B,900000000,INR,11926097,14926098,USD,14926098,14926098,USD,14926098,4,3,11,,,
KINEXON,https://www.crunchbase.com/organization/kinexon,Active,"Munich, Bayern, Germany",101-250,Real-time location intelligence for the Internet of Things.,"The Internet of Things (IoT) is a global major trend. It promises a future in which people and processes communicate and interact with each other fully automatically, almost as if controlled by magic. But to achieve this, we need to know the exact location and status of all relevant ​“things.” We need to connect these things. And this requires a real-time intelligence that lets everything communicate as quickly and intelligently as possible. That’s exactly what we at KINEXON do. For this purpose we offer real-time location solutions and and open edge computing platforms.","Industrial Automation, Industrial Manufacturing, Information Technology, Internet of Things, Logistics, Software",2012-01-01,year,"Information Technology, Internet Services, Manufacturing, Science and Engineering, Software, Transportation","European Investment Bank, EIT Digital Accelerator",Private,"11,278","28,357",,Seed,,,,Debt Financing,15000000,EUR,17790745,,,,17790745,USD,17790745,2,1,2,,,Less than $1M
Airhouse,https://www.crunchbase.com/organization/airhouse,Active,"San Francisco, California, United States",1-10,Airhouse is an end-to-end fulfillment solution for ecommerce companies.,"Airhouse is an end-to-end fulfillment solution for ecommerce companies. With a software platform that automates the heavy lifting of getting products in the hands of customers, Airhouse lets entrepreneurs focus on what they’re best at.  Onboarding takes minutes and there’s no need for a team with operational or engineering expertise. Through a synced Shopify account, Airhouse’s software evaluates store data to create a holistic view of the business and where its customers are. Brands are then matched with warehouses in Airhouse’s partner network that make the most sense for the business, with their inventory shipped to the partner facility as fast as the same day. Airhouse then creates a custom technical configuration for each business tailored directly to their needs and growth strategy.  From there, as new orders come in, the entire fulfillment process—from factory to front door—is efficiently and affordably managed by Airhouse. From a single dashboard, brands have complete visibility on inventory, so they know what products are where and which are running low in real time. It’s like having an all-in-one, cloud-based warehouse that maintains itself—an Airhouse.","E-Commerce, Logistics, Software",2018-01-01,year,"Commerce and Shopping, Software, Transportation","Village Global, Gokul Rajaram, Lachy Groom, Naval Ravikant, James Beshara",Private,"4,423","4,521.83",,Seed,,,,Seed,,,,5500000,USD,5500000,5500000,USD,5500000,3,2,19,,,$1M to $10M
Slope.io,https://www.crunchbase.com/organization/slope-io,Active,"San Francisco, California, United States",1-10,Slope.io is a provider of a healthcare software designed to offer an easy way to prevent inventory outages.,"Slope connects a clinical trial to its supply chain, coordinating the operational complexity of getting devices, drugs, & kits from suppliers to sites to patients in real-time with complete traceability.","Biotechnology, Clinical Trials, Enterprise Software, Events, Logistics, Software",2016-01-01,year,"Biotechnology, Events, Health Care, Media and Entertainment, Science and Engineering, Software, Transportation","New Enterprise Associates, Dynamo, 645 Ventures, GrowthX",Private,"15,080","26,490",,Series A,20000000,USD,20000000,Series A,20000000,USD,20000000,23030000,USD,23030000,23030000,USD,23030000,4,3,4,,,$1M to $10M
Informed.IQ,https://www.crunchbase.com/organization/informed,Active,"San Francisco, California, United States",11-50,Informed is a developer of a consumer auto financing platform designed to collect and analyze loan documents.,"Informed helps banks accelerate their digital transformation with turn-key robotic process automation capable of performing real-time income verification, identity verification, residence verification, and insurance verification tasks. Banks use Informed to reduce their manual costs associated with reviewing documents, catch fraud, and cut down on errors when originating loans and opening accounts.","Automotive, Banking, Consumer Lending, Financial Services, Information Technology, Logistics, Software, Venture Capital",2016-04-01,month,"Financial Services, Information Technology, Lending and Investments, Software, Transportation","Nyca Partners, U.S. Venture Partners, The FIS FinTech Accelerator in Partnership with The Venture Center, Dan Romero, Aspect Ventures",Private,,,,Seed,,,,Seed,,,,20000000,USD,20000000,20000000,USD,20000000,3,3,7,,,Less than $1M
