username,date,variation,rating,comment
andrik46,2021-12-17 23:45:56,15W,5,"Harga:murah

murahh gak murahannnn...nyala ...nyalaaa....mantulllll..pokokkkk eeee ......."
d*****1,2021-12-18 14:36:17,20W,5,"Harga:ok 
Daya listrik:ok
Kualitas:ok

Okkkkkkkkokkkkkkommkkkkkkkkkkokkk good"
hadyy123,2021-12-14 12:46:03,25W,3,"Kotak penyok,kabel putus,kap nya lepas,terpaksa di benerin lagi,untung nyala."
antocucumbahjan,2021-12-05 12:40:29,25W,5,Pengiriman sangat cepat.blm di buka paketnya mudahan nyala smua dan awet.
aksal_azmi,2021-11-19 15:55:52,5W,5,"Harga:terjangkau
Daya listrik:- 
Kualitas:bagus. 5 watt

Akhirnya sampe juga. Harganya terjangkau. Kualitasnya oke. Mudah-mudahan barangnya awet."
wawan_2506,2021-11-23 20:34:59,15W,5,"Harga: murahhhhhh
Daya listrik: hrmatttttttttttt
Kualitas:lumayan

Yg dikirim hanya 20 wat.. Kecewa sih tnpa ada konfirmasi"
d*****f,2021-11-28 13:20:00,10W,5,"Harga:murah
Daya listrik:sama
Kualitas:bagus

Barang sesuai pesanan"
,2021-12-11 15:22:28,25W,5,Pokoke manteb mudah2 awet ya mksh shopee dan abang anternya baik ramah dan asikkkk
a*****s,2021-12-04 18:52:17,15W,2,"Harga:standar
Daya listrik:blm tau
Kualitas:no

Pengemasan hancur. Barangnya lepas semua. Lain kali packingannya diperbaiki"
saputrajohan21,2021-11-22 19:35:10,15W,5,"Paket sudah Sampai kemasan produk rapi dan bagus kurir ramah pengiriman sedikit lambat, tapi rekomendasi untuk pencarian Anda"
b*****2,2021-11-15 15:07:42,25W,5,"Harga:murah
Daya listrik:30wat
Kualitas:ok

Semoga awet lampunya...
Terimakasih......."
hikmawati77,2021-11-14 12:38:20,25W,5,Wowww terang sekali lampunya sesuai dgn sy harapkan nex mau order lg
kurniasusanti,2021-11-19 19:22:59,25W,3,"Dr 4 lampu 3 nyala mati 1,..😭 gmn cari ngembaliin nya ya"
sitisalwahrahmadani,2021-11-28 21:52:50,20W,5,"Harga:sangat baik
Daya listrik:baik
Kualitas:bagus 

Bagus banget,,pengirimnya juga cepet,,"
wlshu861hg,2021-11-21 08:23:12,25W,3,"Barang datang terlepas smua ..harusnya lebih hati"" lagi mbk KL pecking barangya ..KL bisa di isi dus tebal  lagi biar aman ..untung aja suami pintar sambung lagi ,jadi bisa nyala ..smoga aja awet .."
adieduns,2021-11-06 11:27:00,10W,5,Kualitas:bagus bentuknya besar Dan terang sekali sangat recommended banget guys ya ampun guys bagus banget. m
i*****1,2021-11-02 21:37:28,25W,4,"Harga:murah
Daya listrik:standar
Kualitas:standar

Belum dicoba udh kemaleman nnti dicoba, btw ini penyok kardusnya bukan dari seller nya ya tadi buka nya terburu buru, safety produk nya juga dilengkapi buble wrap"
junengsihratnasari,2021-10-27 16:31:12,25W,5,"Harga:murah
Daya listrik:bagus
Kualitas:bagus

Mf Poto GK sesuai .... Krna udh diambil yg punya.... Barang bagus , pengiriman sangat cepat ... pokoknya tooooooopppp mantap"
sherlyolimviarahmadaivi,2021-10-08 20:47:55,25W,5,"Harga:terjangkau
Daya listrik:blm dicoba
Kualitas:bagus

Barang original harga terjangkau kualitas okay pengiriman barang cepet packing rapih"
suhe20ndi,2021-11-12 20:55:58,20W,5,"Harga:murmer
Daya listrik:hemat
Kualitas:lampu dibterima dalam kondisi baik,mudah2an awet,trimakasih lain waktu order lagi"
gjery6ab2y,2021-10-12 14:29:01,15W,4,"Harga:murah moga ga murahan 🤲🤲🙏🙏
Daya listrik:mungkin hemat 
Kualitas:baik

Moga aja awettttttt n makasih kurirr nya baek2 sama shopee nya 👍👍👍"
c34x1zft2e,2021-10-29 18:47:03,15W,5,"Harga:murh 
Daya listrik:hemat
Kualitas:baik 

terimakasih min...
sudah sampai barang...
kulitas bagus min.."
latifa_olshop21,2021-10-23 21:23:56,10W,5,"Daya listrik:10Watt
Kualitas:Bagus

Alhamdulillah...pesanan cepat sampai lampu LED semua menyala, untuk pengemasan okk rapih saya kasih bintang 5

Mohon maaf baru sempat kasih ulasan terimakasih seller dan shopee sukses selalu 😊"
ovietheryzzsakmadsamudra,2021-09-16 04:42:51,25W,4,"Harga:lumayan
Daya listrik:lumayan
Kualitas:lumayan

Ini gimanaaaaaaa  ??????

 Minta lampu LED kok malah di kasih lampu emergency  🙄"
o*****i,2020-12-04 14:59:59,25W,5,"Kerennnnnnnnnnn
Kerennnnnnnnnnn
Kerennnnnnnnnn"
intanifan705,2021-05-05 13:06:24,5W,5,"Paket nya udah sampe dah 2x order disni, mksh ya "
a*****9,2021-06-27 13:50:59,10W,5,"Mantab sellu bgtu minta yg 10 Watt dksh yg 25 Watt
Seller nya biak bngt
Apa Dy g ada stok apa gmn sy krg paham"
park__firda,2021-10-10 19:33:54,25W,5,"Harga:bagus
Daya listrik:bagus
Kualitas:bagus

Terimakasih"
rickytience,2020-11-20 16:19:03,5W,3,
mf2402,2021-07-28 08:43:11,25W,5,"Harga:oke
Daya listrik:oke
Kualitas:oke

Sip"
aryosantan,2021-05-08 13:06:07,10W,5,Hidup semua alhamdulilah
anto_antok,2020-09-24 16:20:28,25W,5,"Smua berfungsi dg baik , lampu terang..ocee.."
ningsih1441,2020-12-16 12:44:03,15W,5,No comen lah tergantung yang liat gmn
fadhirotul93,2021-01-20 11:13:33,15W,5,Sudah di pasang lampunya lupa unboxing gpp lah ya yg penting mantul terang 
m3t0d1u5,2020-12-18 16:21:22,25W,5,
erhyrin,2021-04-14 17:27:37,25W,5,"Alhamdulillah mzh berfungsi zmw ,trma kzh ych bray,...next order lagi ....DECH ,hbiz terang bngettt saya suka bertahan ych bray"
31_1414,2021-01-27 18:07:07,20W,5,Maaaaaaaaaaaaannnnnnnnnmnnmmnmmmtttyyaaaaaaaaaap
almusthofafikulubina,2020-09-13 14:44:04,15W,5,
hamzahsebastian,2020-10-24 12:19:24,15W,1,Barang nya seperti belom dirakit....seperti ori rakitan kita sendiri.....lampu nya juga mati
umiyati479,2021-04-25 11:56:37,15W,5,
mbahsurat92,2021-04-25 12:47:40,20W,4,"Sip ,walau copot yg penting d'coba nyala terang"
udin_28,2020-11-10 19:13:48,20W,1,Ko lampu nya beda sih yg sama saya pesen 
uphe2304,2021-05-13 09:49:17,20W,4,Paket telah diterima dengan selamat. Sesuai dengan pesanan. Terima kasih shoopee. Sy akan selalu membeli produk melalui shoopee..
ewawulandari,2021-04-30 17:39:59,15W,5,"Paketan Udh datang, meskipun lepas tp Alhamdulillah masih bisa dipasang . makasih "
askar0404,2021-01-13 22:28:49,5W,5,Kualitas okee. Recomended ini toko 😊
sihitehelmud,2021-12-01 11:16:53,25W,5,"Harga:baik
Daya listrik: baik
Kualitas:baik

baguslah dgan harga segitu 
next order lagi.terima kasi kakk"
alismsi,2021-11-05 12:09:39,25W,5,"Harga:murah
Daya listrik:okk
Kualitas:baguus

Produk okk thank's seller sekses terus,,aamiin"
i*****8,2022-03-03 16:40:13,30W,5,
tommyckho19,2022-02-21 19:17:00,20W,5,"Terang sekali, mantullllll"
adhelliazakia,2022-02-08 19:23:58,10W,5,Maantap .
sunaryoadi73,2022-01-22 13:50:22,25W,5,Semoga awet
riskanaries,2022-01-07 10:47:20,15W,4,Daya listrik:salah kirim minta yg 15 dikirim 150
jarwanto1945,2021-12-23 23:19:22,20W,4,"Daya listrik:hemat
Kualitas:baik
Harga:murah"
s*****2,2021-12-14 19:44:01,15W,5,"Harga:murah
Kualitas:bagus,terang"
jorrjkick4,2021-11-28 23:59:00,25W,5,
junaidiaja18,2021-11-15 17:03:44,25W,5,
adistanurkhasanah,2021-11-21 21:36:24,25W,5,
irpan414gunawan,2021-11-12 21:57:16,25W,5,
ahmadbsumantri,2021-11-10 01:32:29,10W,5,
dianajutex,2021-10-02 15:36:43,25W,5,Alhamdulillah barang sudah sampai
q*****f,2021-11-08 13:03:57,10W,5,"Harga:sip.100% murah
Kualitas:bagus"
o*****3,2021-10-18 07:14:50,20W,5,
qayshabalqist,2020-08-06 11:23:12,25W,5,
sigitsuzatmiko,2021-04-11 05:04:22,25W,5,Mantap lahhhh....
4*****7,2021-09-21 16:10:18,20W,4,"Harga:murah
Daya listrik:125watt
Kualitas:blum dicoba

Agak kecewa sih ya yang aku pesen 15 watt sama 20watt tp yg datang kok 25 watt lain kali tolong lebih teliti ya"
l*****v,2022-03-13 18:55:10,20W,5,"Kualitas:bagus
Harga:murah
Daya listrik:20 w

Cepat pengiriman barang dan sesuai barang tidak pecah dan penyok terimakasih 🙏🙏"
kodel_resa778,2022-03-06 19:18:47,5W,5,"Kualitas:terbaik
Harga:murah meriah
Daya listrik:10watt

Sudah kedua kalinya pesen ditoko ini memang benar2 terbaik tidak ada slip sedikitpun packing rapih aman pengiriman cepat semoga seterusnya begini, mantappp 👍👍👍"
asengduwi,2022-02-11 10:55:50,30W,5,"Kualitas:bagus
Harga:sangat bersahabat
Daya listrik:ok

Barang dah datang,,,,pengemasan rapi,,,respon ok....."
a*****c,2021-10-27 23:54:28,20W,5,Barang sampai dengan selamat tanpa ada yang kurang .pengiriman lumayan cepat dan tidak telat beda dengan toko yang lain saya baru pertama beli di toko ini semoga terus menjaga kualitas nya dan ketepatan dalam berusahanya makasih banyak
syaifuddinali2016,2022-03-10 14:21:13,30W,5,"Harga:terjangkau..
Daya listrik:30w
Kualitas:mantaap

TerimakSih Barang sdh sy terima... Mamtaaap.
.👍"
y53vfyyvd7,2021-12-29 13:37:38,25W,4,"Kualitas:oke
Harga:pas
Daya listrik:aman

Gffhohvdshucucyd6dufkvkvjcyxts4q6digihovkcih0uud5a4sjvkhivj ys4eohlvjfudihkcug"
e*****a,2021-12-23 15:05:24,20W,5,"Daya listrik:20w dan 5w
Kualitas:bagus
Harga:murah

Pengemasan dan pengiriman cukup cepat,packing aman..barang murah kualitas bagus..udh aq cek berfungsi semua"
ariefkoboy,2021-11-29 17:09:06,10W,5,"Harga:brsaing
Daya listrik:5watt sm 10wat
Kualitas:yg prtma sih bgs

blm d coba nyala ato ngga nya
maAf baru ngsih ulasan
mdh²an nyala semua nya"
a*****5,2021-12-05 14:55:35,25W,5,"Harga:sip
Daya listrik:ok
Kualitas:ok

Barang copot saat sampe, tp dipasang bener lagi. Dicoba nyala terang"
umarsy4h,2022-03-06 13:52:51,10W,5,"Kualitas:bagus berfungsi dengan baik
Harga:harganya bersahabat dengan dompet
Daya listrik:daya listrik 10W cukup terang banget sih menurut saya

Pokoknya sesuai dengan pesanannya..kualitas pengemasan paketnya sangat bagus tebal dan rapih jd aman buat lampunya... tokonya fast respon juga..... trimakasih kurirnya paketnya Dateng dgn selamat. Trimakasih bwt shopee."
mozza_comp,2021-12-18 16:46:05,25W,5,"Kualitas:Ok
Harga:Murah
Daya listrik:Irit

Pesanannya sudah sampai dengan aman, packing rapih, kurirnya ramah, sukses terusss buat tokonya, Terima Kasih 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍"
rika_nafiah25,2021-11-27 21:52:51,25W,5,"Harga:murah
Daya listrik:25
Kualitas:Bagus

Produk bagus
Semoga awet
Pengiriman cepaattt
Pengemasan cepaatttt
Thanks shopee 👍👍👍👍🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏👍"
